cement_kg_m3,blast_slag_kg_m3,fly_ash_kg_m3,water_kg_m3,superplasticizer_kg_m3,coarse_agg_kg_m3,fine_agg_kg_m3,age_days,strength_mpa
255.9,51.7,0,176.1,21.46,1054.6,892,14,55.28
510.7,0,130,237.1,31.25,852.7,961.1,90,95
244,155.4,0,213,0.19,876.1,877,14,38.08
468.5,65.2,0,161.7,31.49,977.8,954.6,1,55.83
218.5,153,54.3,225.1,20.88,1060.2,638.7,28,56.06
142.4,96.2,0,146.9,20.73,1033.6,695.9,90,47.28
311.3,0,0,157.2,14.98,956.7,949.8,90,65.12
451.3,7.3,90.7,208.5,16.56,819.7,673,56,85.92
230.2,0,0,225.7,31.59,1122.5,714.4,365,41.1
514.9,0,0,214.1,24.89,939,622,28,77.49
383.1,0,0,222.9,22.38,852,656.9,90,54.95
169.7,83.2,28.8,208.8,29.09,818.2,686.1,180,38.7
195.5,89.6,71.6,199.8,0.92,1112.7,816.9,3,29.54
255.1,170.2,21.7,170.2,7.66,800.5,644.1,365,62.41
495.3,0,0,200.6,11.92,967.3,810.2,28,76.78
502.3,166.7,144.1,228.7,3.82,1030.4,986.6,28,88.46
390.1,0,0,216.4,4.2,950.1,859.4,3,30.46
254.8,7.7,0,212.1,8.93,870.3,896.7,180,31.55
539.2,31.5,0,202.9,9.75,1093.5,897,180,82.02
222.6,0,0,220.4,7.5,1003.9,946.6,1,12.09
480.6,87.3,0,143.2,28.12,864.3,912,1,57.02
403.4,0,0,193,23.55,883,951.9,28,68.67
486.8,161.2,0,141.8,7.36,1097,874.5,14,93.24
265,0,0,196.5,30.99,914.2,944.3,365,47.67
415.5,0,0,233.6,0.86,1047.6,700.6,365,47.13
178.5,175.3,66.4,143.2,24.59,886.2,899.2,90,85.17
387.5,28.7,97.6,134.1,4.92,1052.3,914.6,7,68.75
275.3,0,0,168,30.75,1127.7,634.1,180,57.69
411.8,0,35.9,181.5,10.39,948.2,890.4,28,76.34
195.6,153.9,0,208.5,10.22,1088.8,749.5,90,48.49
466.9,47.1,14.8,217.5,7.52,839.3,699.9,1,36.08
349.2,183.5,155.6,225.9,8.66,921.7,852.7,28,79.33
505.1,35.4,159.5,157.2,23.65,804.9,603.5,3,67.96
384.8,24.6,0,144.8,28.37,977.8,679,365,92.89
479.3,0,26.4,132.4,12.16,1126.9,898.3,56,95
535.9,8.5,0,130.2,29.58,1018.8,767.5,56,95
310.6,0,176.7,204.4,2.88,939.8,845.7,28,57.04
301.6,0,0,159.6,29.83,1039,826,28,76.96
336.2,0,73.7,140.7,31.92,807.5,779.7,28,95
180.9,0,0,234.5,10.64,1101.6,810.7,3,10.34
538.5,55.4,0,210,11.38,944.9,593.6,3,51.94
491.9,0,79.2,130.2,31.71,889.1,784.1,7,95
276.7,16.5,0,144.7,27.16,1043.8,874,28,76.37
399.9,0,0,143.1,29.18,1057.2,932.9,14,85.66
471,97.4,132.6,158,5.63,846.9,592.6,28,89.41
539.1,0,140.3,171.7,2.37,951.1,924.1,90,88.86
498.3,0,16.2,148,29.87,869.7,680.3,28,95
476.7,0,0,210.6,9.44,948.4,685.8,7,49.6
418.6,26.7,70.3,227.1,8.46,832,717.9,1,40.2
500.4,112.5,0,130.5,18.82,930.2,740.6,28,95
307,0,0,225.6,23.35,959.8,755.5,3,33.41
379.4,68.6,99.6,174.9,11.02,1086.7,941.1,56,87.3
343.5,61.1,0,217.7,9.93,946.6,889.2,365,55.62
216.7,173.2,0,214.3,28.33,1092.1,809.3,1,27.12
291.8,73.5,100.1,206.2,14.4,967.1,765.8,365,63.89
218.9,157.2,102.2,130.1,18.76,911.6,982.8,90,95
305,0,179.1,151.7,3.1,978.1,845.7,3,52.79
424.8,34.6,8.6,133.4,26.64,1098.2,650,28,95
429.6,0,45.2,223.7,10.85,896.8,770.7,28,66.09
173.3,70.3,0,141.8,10.6,1095,798.1,7,34.57
364.4,116.7,0,145,8.46,883.1,928.5,28,85.67
445.9,0,0,171.7,26.59,1012.7,967.7,180,93.61
291,0,52.9,220.3,20.87,917,669.8,28,50.07
179.9,19.5,112.1,158.5,13.66,1080,974.8,180,58.08
453.2,26.8,0,182.6,25.11,1008.8,738.3,28,81.36
324.9,0,0,184.9,18.08,936.3,841.3,28,69.44
464.9,150.8,66.7,208,25.24,925.6,726.8,3,57.8
259.7,0,0,189.2,2.35,940,669.1,28,35.84
208,71.1,0,229.3,8.91,1061.8,973.1,365,26.95
370.1,0,0,135.7,10.28,1127.1,697.5,14,72.27
142.7,0,2,182,16.13,982.7,623.1,180,10.85
494.6,0,192.2,137.9,14.58,1079.8,752.7,1,57.44
180.5,0,0,138.1,22.79,938,660.8,7,40.24
337.8,52.7,183,170.1,31.7,842.3,927.2,28,95
251.9,193.1,4.6,228,30.67,1136.9,809.3,1,36.43
158.2,109.9,116,146.1,9.45,887.5,927.8,28,67.45
327.9,98.1,0,170.5,19.1,868.4,642.1,3,45.8
334.6,34.4,0,193.5,13,998.5,599,7,49.38
428.1,0,0,226.9,19.79,965.4,730.6,7,48.72
423.1,94.7,0,203.2,0.99,960,653.6,28,57.4
493,191.7,54.4,154.5,30.61,899.4,761,28,95
400.6,0,0,226.9,20.29,1064.7,624.9,28,62.41
264.5,66,0,164.4,18,867.8,864.3,180,59.55
146.7,0,85.3,132.4,30.16,986.8,854.6,365,60.33
414.6,86.3,0,235.9,11.47,962.2,744.2,365,59.19
233.5,0,4.7,175.2,3.57,899.4,804.2,28,32.6
412.6,0,159.6,130.2,16.89,1139.6,603.7,28,95
448.9,0,15.7,217.1,28.35,871.8,768.5,90,73.26
215.8,167.5,119.9,192.7,0.92,872.2,966.5,90,63.7
437.6,37.3,0,232.1,25,896.9,637.5,28,67.35
380,0,186.9,142,23.55,1087.2,786.1,7,85.15
349,42.2,0,203.9,26.01,1087.3,918.9,14,65.81
180.4,35.7,103.5,213,29.06,1003.1,862,14,45.22
286.4,97.8,0,238.7,9.45,888.6,692.3,28,43.85
274.7,86.4,0,204.8,2.02,880.9,843.5,14,44.07
505.2,21.5,188.6,210.8,17.1,986.2,747.9,28,95
532,0,0,152.9,18.49,916.5,910.6,3,65.2
304.8,0,0,158.2,9.67,946.4,921.1,28,64.53
337.1,177.2,128.2,204.9,20.71,865,758.7,28,81.78
311.6,0,172.1,192.1,30.1,1110.8,948.7,1,46.04
197.7,0,0,223.4,25.46,1092.7,613.2,365,22.43
292.9,0,0,200.3,29.97,876.1,827.3,28,54.72
220.3,0,0,191.4,15.28,938.7,824.2,1,17.34
289,0,0,157.8,18.77,964.7,739.9,365,58.91
317.2,128,0,198.9,25.35,1087.7,765.1,180,68.11
391.2,137.1,0,188.8,28.11,804.7,652.7,28,87.9
278.2,0,0,161.3,21.71,954.5,711.3,28,57.38
443.9,128.6,0,219,5.58,1003.3,762.4,28,71.75
154.5,56.2,39.3,182.3,0.23,1098.5,749.5,90,28.28
439.2,113.3,95.3,219.1,26.98,905.2,645.3,7,68.26
524.3,15.7,63,215.7,11.97,977,902.2,365,78.94
448.8,146.3,38.1,234.2,11.57,843.8,621.1,28,67.94
434.1,35,55.5,193.1,22.49,1075.2,626.6,28,77.3
207.6,0,0,209,24.97,1025,598,3,20.68
239.5,151.9,0,155.5,22.1,1065.6,591.5,7,59.21
518.6,169.5,0,159.8,12.67,1070.1,692.5,90,95
157,56.9,0,176.7,26.49,889.8,941.1,28,32.93
272.1,16.9,0,160,28.52,1066.8,784.2,7,43.19
468.2,159.5,64.7,148.5,2.25,1048.2,641.8,28,91.85
244.5,0,0,238.7,16.75,972.5,907.1,180,28.1
228.3,182.5,0,175.1,3.51,1118,626.1,180,61.16
231.8,40.6,0,152.1,19.75,993.1,759.1,56,57.36
365.9,0,0,217.3,12.65,862.9,861.8,28,52.1
252.4,11.7,61.3,227.2,26.03,960.6,691.9,28,43.73
200.8,7.2,0,179.5,19.24,1134.1,849.3,180,38.03
401.7,198,0,239.7,4.88,840.7,850.6,7,46.65
538.5,104.3,0,142.2,19.02,1101,852.7,3,68.88
160.4,0,117.7,159.7,13.26,949.9,831.5,180,55.01
385.6,92,0,157.8,16.89,876.4,619.2,1,42.79
206,0,108,135.2,22.67,973,684,28,74.38
275.6,104.9,108.4,235.2,6.63,904.2,731.9,28,56.69
516.5,0,0,219.1,1.88,896.8,840.7,1,27.18
342.5,0,0,214.3,6.1,850.5,672.9,180,44.29
219.7,43,0,174.9,31.27,958,868,28,45.29
450.1,0,0,167.4,23.15,883.8,640.2,28,85.77
310.1,0,45.3,133.1,8.56,1020.7,814.9,28,72.28
232,0,179.6,160.2,4.11,870.2,821.1,14,63.62
482.6,172.2,123.6,196,8.2,939.8,720.7,14,80.01
430.8,90.9,35.4,141.1,12.08,1093.3,672.1,3,64.64
294.3,0,0,155.4,4.02,1134.1,656.7,3,30.8
211.6,0,130.3,205,11.36,875.7,882.5,3,22.21
513.1,58,0,222.7,2.95,963.7,863.5,7,51.25
186.5,109.1,20.5,188.8,19.3,908.5,945.7,90,48.22
428.5,0,0,237.4,27.23,998.3,756.5,7,52.84
144,90.2,114.3,173.2,3.74,1022.1,612.5,3,31.9
252.3,173.4,0,145.2,28.52,986.7,709.1,365,85.46
365.3,68.5,0,165.6,19.3,888.7,902,14,68.43
539.6,146.1,0,177.7,8.6,1106.2,737.7,28,95
346.9,111.7,0,164.9,29.88,1024.3,666.2,28,92.62
511.3,0,0,206.7,1.71,827.6,705.9,180,68.04
211.7,0,82.4,147.1,19.2,804.4,980.4,14,60.81
153.3,102.7,122.3,199.4,20.46,914.1,669.4,56,49.81
511.5,133.8,53.2,235.1,4.73,1103.6,851.5,56,79.38
180.5,182.5,34.8,231.8,21.7,846.4,732.4,28,45.2
242.1,48.2,0,198,0.77,889.5,771,56,29.48
400.6,42.5,123.8,180.1,2.28,996.4,624.9,14,66.97
